n_bits,N,p_true,q_true,M_shots,rep,success,attempts,time_sec,qubits_used,method,factors_found
6,35,5,7,100,1,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,2,1,5,0.14940595626831055,0,gcd_luck,"[5, 7]"
6,35,5,7,100,3,1,4,0.11653375625610352,0,gcd_luck,"[5, 7]"
6,35,5,7,100,4,1,2,0.03620100021362305,0,gcd_luck,"[5, 7]"
6,35,5,7,100,5,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,6,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,7,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,8,1,3,0.07437705993652344,0,gcd_luck,"[5, 7]"
6,35,5,7,100,9,1,4,0.12129616737365723,0,gcd_luck,"[5, 7]"
6,35,5,7,100,10,1,3,0.08516168594360352,0,gcd_luck,"[5, 7]"
6,35,5,7,100,11,1,2,0.0416567325592041,0,gcd_luck,"[5, 7]"
6,35,5,7,100,12,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,13,1,6,0.20538973808288574,0,gcd_luck,"[5, 7]"
6,35,5,7,100,14,1,2,0.041396379470825195,0,gcd_luck,"[5, 7]"
6,35,5,7,100,15,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,16,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,17,1,2,0.04352760314941406,0,gcd_luck,"[5, 7]"
6,35,5,7,100,18,1,2,0.04633474349975586,0,gcd_luck,"[5, 7]"
6,35,5,7,100,19,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,20,1,3,0.08817434310913086,0,gcd_luck,"[5, 7]"
6,35,5,7,100,21,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,22,1,8,0.43869519233703613,0,gcd_luck,"[5, 7]"
6,35,5,7,100,23,1,2,0.04384946823120117,0,gcd_luck,"[5, 7]"
6,35,5,7,100,24,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,25,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,26,1,2,0.0412898063659668,0,gcd_luck,"[5, 7]"
6,35,5,7,100,27,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,28,1,2,0.03809380531311035,0,gcd_luck,"[5, 7]"
6,35,5,7,100,29,1,2,0.03815007209777832,0,gcd_luck,"[5, 7]"
6,35,5,7,100,30,1,1,0.03571605682373047,18,quantum,"[5, 7]"
6,35,5,7,100,31,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,32,1,4,0.11276555061340332,0,gcd_luck,"[5, 7]"
6,35,5,7,100,33,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,34,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,35,1,2,0.03748178482055664,0,gcd_luck,"[5, 7]"
6,35,5,7,100,36,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,37,1,6,0.2102494239807129,0,gcd_luck,"[5, 7]"
6,35,5,7,100,38,1,2,0.03773975372314453,0,gcd_luck,"[5, 7]"
6,35,5,7,100,39,1,2,0.03759145736694336,0,gcd_luck,"[5, 7]"
6,35,5,7,100,40,1,1,0.0,0,gcd_luck,"[5, 7]"
6,35,5,7,100,41,1,2,0.03953409194946289,0,gcd_luck,"[5, 7]"
6,35,5,7,100,42,1,2,0.04027152061462402,0,gcd_luck,"[5, 7]"
6,35,5,7,100,43,1,3,0.07318234443664551,0,gcd_luck,"[5, 7]"
6,35,5,7,100,44,1,2,0.03511452674865723,0,gcd_luck,"[5, 7]"
6,35,5,7,100,45,1,10,0.32210826873779297,0,gcd_luck,"[5, 7]"
