n_bits,N,p_true,q_true,M_shots,rep,success,is_quantum,method,attempts,time_sec,qubits
4,15,3,5,100,1,1,1,quantum_success,1,0.140089750289917,12
4,15,3,5,100,2,1,1,quantum_success,1,0.16241025924682617,12
4,15,3,5,100,3,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,4,1,1,quantum_success,1,0.16823053359985352,12
4,15,3,5,100,5,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,6,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,7,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,8,1,1,quantum_success,1,0.2789168357849121,12
4,15,3,5,100,9,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,10,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,11,1,1,quantum_success,1,0.158843994140625,12
4,15,3,5,100,12,1,1,quantum_success,1,0.12222528457641602,12
4,15,3,5,100,13,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,14,1,1,quantum_success,1,0.16297554969787598,12
4,15,3,5,100,15,1,1,quantum_success,1,0.14541292190551758,12
4,15,3,5,100,16,1,1,quantum_success,1,0.1965789794921875,12
4,15,3,5,100,17,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,18,1,1,quantum_success,1,0.19279813766479492,12
4,15,3,5,100,19,1,1,quantum_success,1,0.15932464599609375,12
4,15,3,5,100,20,1,1,quantum_success,1,0.16407251358032227,12
4,15,3,5,100,21,1,1,quantum_success,1,0.14072465896606445,12
4,15,3,5,100,22,1,1,quantum_success,1,0.15677571296691895,12
4,15,3,5,100,23,1,1,quantum_success,1,0.19163155555725098,12
4,15,3,5,100,24,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,25,1,1,quantum_success,1,0.11342096328735352,12
4,15,3,5,100,26,1,1,quantum_success,1,0.15713262557983398,12
4,15,3,5,100,27,1,1,quantum_success,1,0.11470627784729004,12
4,15,3,5,100,28,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,29,1,1,quantum_success,1,0.15784716606140137,12
4,15,3,5,100,30,1,1,quantum_success,1,0.14409804344177246,12
4,15,3,5,100,31,1,1,quantum_success,1,0.283947229385376,12
4,15,3,5,100,32,1,1,quantum_success,1,0.19701623916625977,12
4,15,3,5,100,33,1,1,quantum_success,1,0.19676804542541504,12
4,15,3,5,100,34,1,1,quantum_success,1,0.1428825855255127,12
4,15,3,5,100,35,1,1,quantum_success,1,0.14315557479858398,12
4,15,3,5,100,36,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,37,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,38,1,0,gcd_luck,1,0.0,0
