batch_id,run_id,algo,N,N_bits,M,rep,success,time_sec,factors,status,seed,hw_backend,hw_qubits,quantum_seconds,job_id
1,1,classical,2773,12,0,1,1,6.198883056640625e-06,"[47, 59]",OK,,,,0.0,
1,2,classical,2773,12,0,2,1,3.0994415283203125e-06,"[47, 59]",OK,,,,0.0,
1,3,classical,2773,12,0,3,1,2.86102294921875e-06,"[47, 59]",OK,,,,0.0,
1,4,classical,2773,12,0,4,1,2.86102294921875e-06,"[47, 59]",OK,,,,0.0,
1,5,classical,2773,12,0,5,1,3.0994415283203125e-06,"[47, 59]",OK,,,,0.0,
1,6,classical,2773,12,0,6,1,3.0994415283203125e-06,"[47, 59]",OK,,,,0.0,
1,7,classical,2773,12,0,7,1,2.384185791015625e-06,"[47, 59]",OK,,,,0.0,
1,8,classical,2773,12,0,8,1,3.337860107421875e-06,"[47, 59]",OK,,,,0.0,
1,9,classical,2773,12,0,9,1,2.6226043701171875e-06,"[47, 59]",OK,,,,0.0,
1,10,classical,2773,12,0,10,1,2.86102294921875e-06,"[47, 59]",OK,,,,0.0,
1,11,quantum,2773,12,100,1,True,4.716060638427734,"[47, 59]",OK_QUANTUM_HARDWARE,113001.0,ibm_fez,156.0,4.716060638427734,d5ltp69h2mqc739a8dig
1,12,quantum,2773,12,100,2,True,4.83984375,"[47, 59]",OK_QUANTUM_HARDWARE,113002.0,ibm_fez,156.0,4.83984375,d5ltp7hh2mqc739a8dkg
1,13,quantum,2773,12,100,3,True,4.237571716308594,"[47, 59]",OK_QUANTUM_HARDWARE,113003.0,ibm_fez,156.0,4.237571716308594,d5ltp8t9j2ac739k6qeg
1,14,classical,851,10,0,1,1,4.291534423828125e-06,"[23, 37]",OK,,,,0.0,
1,15,classical,851,10,0,2,1,1.430511474609375e-06,"[23, 37]",OK,,,,0.0,
1,16,classical,851,10,0,3,1,1.6689300537109375e-06,"[23, 37]",OK,,,,0.0,
1,17,classical,851,10,0,4,1,1.6689300537109375e-06,"[23, 37]",OK,,,,0.0,
1,18,classical,851,10,0,5,1,1.1920928955078125e-06,"[23, 37]",OK,,,,0.0,
1,19,classical,851,10,0,6,1,1.1920928955078125e-06,"[23, 37]",OK,,,,0.0,
1,20,classical,851,10,0,7,1,1.1920928955078125e-06,"[23, 37]",OK,,,,0.0,
1,21,classical,851,10,0,8,1,1.1920928955078125e-06,"[23, 37]",OK,,,,0.0,
1,22,classical,851,10,0,9,1,1.1920928955078125e-06,"[23, 37]",OK,,,,0.0,
1,23,classical,851,10,0,10,1,1.430511474609375e-06,"[23, 37]",OK,,,,0.0,
