n_bits,N,p_true,q_true,M_shots,rep,success,is_quantum,method,attempts,time_sec,qubits
4,15,3,5,50,1,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,2,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,3,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,4,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,5,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,6,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,7,1,1,quantum_success,1,0.08770370483398438,12
4,15,3,5,50,8,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,9,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,10,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,1,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,2,1,1,quantum_success,1,0.13461565971374512,12
4,15,3,5,100,3,1,1,quantum_success,1,0.2073378562927246,12
4,15,3,5,100,4,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,5,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,6,1,1,quantum_success,1,0.21922087669372559,12
4,15,3,5,100,7,1,1,quantum_success,1,0.1561892032623291,12
4,15,3,5,100,8,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,9,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,10,1,1,quantum_success,1,0.15851497650146484,12
4,15,3,5,500,1,1,1,quantum_success,1,0.1611320972442627,12
4,15,3,5,500,2,1,0,gcd_luck,1,0.0020067691802978516,0
4,15,3,5,500,3,1,1,quantum_success,1,0.20312929153442383,12
4,15,3,5,500,4,1,1,quantum_success,1,0.1700572967529297,12
4,15,3,5,500,5,1,1,quantum_success,1,0.14114689826965332,12
4,15,3,5,500,6,1,1,quantum_success,1,0.2102947235107422,12
4,15,3,5,500,7,1,0,gcd_luck,1,0.0,0
4,15,3,5,500,8,1,1,quantum_success,1,0.1642165184020996,12
4,15,3,5,500,9,1,0,gcd_luck,1,0.0,0
