n_bits,N,p_true,q_true,M_shots,rep,success,is_quantum,method,attempts,time_sec,qubits
4,15,3,5,50,1,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,2,1,1,quantum_success,1,0.1074986457824707,12
4,15,3,5,50,3,1,1,quantum_success,1,0.12104487419128418,12
4,15,3,5,50,4,1,0,gcd_luck,1,0.001003265380859375,0
4,15,3,5,50,5,1,1,quantum_success,1,0.12199234962463379,12
4,15,3,5,50,6,1,1,quantum_success,1,0.1505427360534668,12
4,15,3,5,50,7,1,1,quantum_success,1,0.13332796096801758,12
4,15,3,5,50,8,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,9,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,10,1,1,quantum_success,1,0.14886927604675293,12
4,15,3,5,50,11,1,1,quantum_success,1,0.14191150665283203,12
4,15,3,5,50,12,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,13,1,1,quantum_success,1,0.1622316837310791,12
4,15,3,5,50,14,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,15,1,1,quantum_success,1,0.1633296012878418,12
4,15,3,5,50,16,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,17,1,1,quantum_success,1,0.13855886459350586,12
4,15,3,5,50,18,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,19,1,0,gcd_luck,1,0.0,0
4,15,3,5,50,20,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,1,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,2,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,3,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,4,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,5,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,6,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,7,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,8,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,9,1,1,quantum_success,1,0.13682055473327637,12
4,15,3,5,100,10,1,1,quantum_success,1,0.13715624809265137,12
4,15,3,5,100,11,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,12,1,1,quantum_success,1,0.12494421005249023,12
4,15,3,5,100,13,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,14,1,1,quantum_success,1,0.09873819351196289,12
4,15,3,5,100,15,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,16,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,17,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,18,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,19,1,0,gcd_luck,1,0.0,0
4,15,3,5,100,20,1,0,gcd_luck,1,0.0,0
4,15,3,5,500,1,1,1,quantum_success,1,0.2171924114227295,12
4,15,3,5,500,2,1,1,quantum_success,1,0.16014671325683594,12
4,15,3,5,500,3,1,0,gcd_luck,1,0.0,0
4,15,3,5,500,4,1,1,quantum_success,1,0.09520673751831055,12
4,15,3,5,500,5,1,1,quantum_success,1,0.11946463584899902,12
4,15,3,5,500,6,1,1,quantum_success,1,0.1250438690185547,12
4,15,3,5,500,7,1,1,quantum_success,1,0.12125849723815918,12
4,15,3,5,500,8,1,1,quantum_success,1,0.1572282314300537,12
4,15,3,5,500,9,1,1,quantum_success,1,0.09544587135314941,12
4,15,3,5,500,10,1,1,quantum_success,1,0.15804219245910645,12
4,15,3,5,500,11,1,1,quantum_success,1,0.09488821029663086,12
4,15,3,5,500,12,1,1,quantum_success,1,0.13405966758728027,12
4,15,3,5,500,13,1,0,gcd_luck,1,0.0,0
4,15,3,5,500,14,1,0,gcd_luck,1,0.0,0
4,15,3,5,500,15,1,0,gcd_luck,1,0.0,0
4,15,3,5,500,16,1,0,gcd_luck,1,0.0,0
4,15,3,5,500,17,1,1,quantum_success,1,0.1581723690032959,12
4,15,3,5,500,18,1,0,gcd_luck,1,0.0,0
4,15,3,5,500,19,1,1,quantum_success,1,0.09370183944702148,12
4,15,3,5,500,20,1,1,quantum_success,1,0.13432097434997559,12
4,15,3,5,1024,1,1,1,quantum_success,1,0.1608717441558838,12
4,15,3,5,1024,2,1,0,gcd_luck,1,0.0,0
4,15,3,5,1024,3,1,1,quantum_success,1,0.20022821426391602,12
4,15,3,5,1024,4,1,0,gcd_luck,1,0.0,0
4,15,3,5,1024,5,1,0,gcd_luck,1,0.0005095005035400391,0
4,15,3,5,1024,6,1,1,quantum_success,1,0.1554093360900879,12
4,15,3,5,1024,7,1,1,quantum_success,1,0.12702512741088867,12
4,15,3,5,1024,8,1,0,gcd_luck,1,0.0,0
4,15,3,5,1024,9,1,1,quantum_success,1,0.15462017059326172,12
4,15,3,5,1024,10,1,1,quantum_success,1,0.1227712631225586,12
4,15,3,5,1024,11,1,0,gcd_luck,1,0.0,0
4,15,3,5,1024,12,1,0,gcd_luck,1,0.0,0
4,15,3,5,1024,13,1,0,gcd_luck,1,0.0,0
4,15,3,5,1024,14,1,1,quantum_success,1,0.0956113338470459,12
4,15,3,5,1024,15,1,1,quantum_success,1,0.15883779525756836,12
4,15,3,5,1024,16,1,1,quantum_success,1,0.12185287475585938,12
4,15,3,5,1024,17,1,0,gcd_luck,1,0.0,0
4,15,3,5,1024,18,1,1,quantum_success,1,0.13454127311706543,12
4,15,3,5,1024,19,1,0,gcd_luck,1,0.0,0
4,15,3,5,1024,20,1,0,gcd_luck,1,0.0,0
4,15,3,5,2048,1,1,1,quantum_success,1,0.13046550750732422,12
4,15,3,5,2048,2,1,1,quantum_success,1,0.12794733047485352,12
4,15,3,5,2048,3,1,1,quantum_success,1,0.12820696830749512,12
4,15,3,5,2048,4,1,1,quantum_success,1,0.1297450065612793,12
4,15,3,5,2048,5,1,1,quantum_success,1,0.1278526782989502,12
4,15,3,5,2048,6,1,1,quantum_success,1,0.10143208503723145,12
4,15,3,5,2048,7,1,0,gcd_luck,1,0.0,0
4,15,3,5,2048,8,1,1,quantum_success,1,0.18647003173828125,12
4,15,3,5,2048,9,1,1,quantum_success,1,0.16392064094543457,12
4,15,3,5,2048,10,1,0,gcd_luck,1,0.0,0
4,15,3,5,2048,11,1,1,quantum_success,1,0.15782976150512695,12
4,15,3,5,2048,12,1,0,gcd_luck,1,0.0,0
4,15,3,5,2048,13,1,0,gcd_luck,1,0.0,0
4,15,3,5,2048,14,1,1,quantum_success,1,0.12483429908752441,12
4,15,3,5,2048,15,1,0,gcd_luck,1,0.0,0
4,15,3,5,2048,16,1,0,gcd_luck,1,0.0,0
4,15,3,5,2048,17,1,1,quantum_success,1,0.1241447925567627,12
4,15,3,5,2048,18,1,1,quantum_success,1,0.14539337158203125,12
4,15,3,5,2048,19,1,0,gcd_luck,1,0.0005028247833251953,0
4,15,3,5,2048,20,1,1,quantum_success,1,0.15968871116638184,12
4,15,3,5,4096,1,1,1,quantum_success,1,0.16419577598571777,12
4,15,3,5,4096,2,1,1,quantum_success,1,0.17063045501708984,12
4,15,3,5,4096,3,1,1,quantum_success,1,0.12975716590881348,12
4,15,3,5,4096,4,1,0,gcd_luck,1,0.0,0
4,15,3,5,4096,5,1,1,quantum_success,1,0.10651159286499023,12
4,15,3,5,4096,6,1,0,gcd_luck,1,0.0,0
4,15,3,5,4096,7,1,1,quantum_success,1,0.16933465003967285,12
4,15,3,5,4096,8,1,1,quantum_success,1,0.13183951377868652,12
4,15,3,5,4096,9,1,0,gcd_luck,1,0.0,0
4,15,3,5,4096,10,1,0,gcd_luck,1,0.0,0
4,15,3,5,4096,11,1,0,gcd_luck,1,0.0,0
4,15,3,5,4096,12,1,0,gcd_luck,1,0.0,0
